| Day                            | Time                           | Campus                         | Building & Room                |
| Tuesday                        | 1020 - 1140                    | LIVINGSTON                     | TIL-207                        |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | HC-S126                        |
| Wednesday                      | 1020 - 1140                    | COLLEGE AVENUE                 | MU-111                         |
| Tuesday                        | 1210 - 1330                    | COLLEGE AVENUE                 | MU-211                         |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | SC-219                         |
| Wednesday                      | 0830 - 1130                    | COLLEGE AVENUE                 | CA-A2                          |
| Thursday                       | 1400 - 1520                    | DOUGLAS/COOK                   | DL-G006                        |
| Monday                         | 1210 - 1330                    | BUSCH                          | SEC-202                        |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | -                              |
| Wednesday                      | 1550 - 1710                    | BUSCH                          | -                              |
| Monday                         | 1400 - 1520                    | LIVINGSTON                     | BRR-3031                       |
| Tuesday                        | 1210 - 1330                    | COLLEGE AVENUE                 | ZAM-SEM                        |
| Thursday                       | 1550 - 1850                    | BUSCH                          | NH-D251                        |
| Wednesday                      | 1400 - 1520                    | DOUGLAS/COOK                   | HCK-114                        |
| Tuesday                        | 1210 - 1330                    | LIVINGSTON                     | JDC-010                        |
| Thursday                       | 0830 - 0950                    | BUSCH                          | SEC-218                        |
| Wednesday                      | 1210 - 1330                    | COLLEGE AVENUE                 | MU-213                         |
| Thursday                       | 1550 - 1710                    | COLLEGE AVENUE                 | CA-A3                          |
| Tuesday                        | 1550 - 1710                    | COLLEGE AVENUE                 | HC-E128                        |
| Tuesday                        | 1020 - 1320                    | DOUGLAS/COOK                   | HCK-114                        |
| Thursday                       | 1210 - 1330                    | DOUGLAS/COOK                   | NIH-111                        |
| Tuesday                        | 1210 - 1330                    | DOUGLAS/COOK                   | RMH-209                        |
| Tuesday                        | 1400 - 1520                    | DOUGLAS/COOK                   | RMH-209                        |
| Friday                         | 1210 - 1330                    | DOUGLAS/COOK                   | NIH-111                        |
| Monday                         | 1020 - 1140                    | COLLEGE AVENUE                 | SC-106                         |
| Tuesday                        | 1020 - 1140                    | COLLEGE AVENUE                 | AB-2250                        |
| Tuesday                        | 1020 - 1140                    | BUSCH                          | SHP-120                        |
| Wednesday                      | 1020 - 1320                    | COLLEGE AVENUE                 | OQ-202                         |
| Tuesday                        | 1740 - 1900                    | COLLEGE AVENUE                 | HC-S126                        |
| Monday                         | 1930 - 2050                    | COLLEGE AVENUE                 | HC-S124                        |
| Tuesday                        | 1930 - 2050                    | COLLEGE AVENUE                 | HC-S124                        |
| Monday                         | 1740 - 1900                    | COLLEGE AVENUE                 | HC-S124                        |
