| Day                            | Time                           | Campus                         | Building & Room                |
| Thursday                       | 2:00 PM - 3:20 PM              | Livingston                     | LSH-B205                       |
| Friday                         | 10:20 AM - 11:40 AM            | Busch                          | SEC-217                        |
| Monday                         | 3:50 PM - 5:10 PM              | Busch                          | SEC-206                        |
| Thursday                       | 12:10 PM - 1:30 PM             | Livingston                     | BE-013                         |
| Tuesday                        | 12:10 PM - 1:30 PM             | Livingston                     | BE-251                         |
| Monday                         | 8:30 AM - 9:50 AM              | Livingston                     | TIL-123                        |
| Thursday                       | 3:50 PM - 5:10 PM              | Livingston                     | BE-013                         |
| Friday                         | 10:20 AM - 11:40 AM            | Livingston                     | LSH-B269                       |
| Thursday                       | 10:20 AM - 1:20 PM             | Busch                          | SEC-212                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Livingston                     | LSH-B115                       |
| Friday                         | 12:10 PM - 1:30 PM             | Livingston                     | LSH-B115                       |
| Monday                         | 5:40 PM - 7:00 PM              | Livingston                     | TIL-207                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Livingston                     | TIL-207                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 8:30 AM - 9:50 AM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 10:20 AM - 11:40 AM            | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 12:10 PM - 1:30 PM             | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 2:00 PM - 3:20 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 3:50 PM - 5:10 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 5:40 PM - 7:00 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Tuesday                        | 7:30 PM - 8:50 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 8:30 AM - 9:50 AM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 10:20 AM - 11:40 AM            | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 12:10 PM - 1:30 PM             | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
| Wednesday                      | 2:00 PM - 3:20 PM              | Busch                          | BLC-142                        |
| Monday                         | 5:40 PM - 7:00 PM              | Busch                          | ARC-103                        |
