Building/Room       Class Times              Professor Names               
RAB-001             2:00 PM - 3:20 PM        FEIBEL, CRAIG                 
BIO-302             2:00 PM - 3:20 PM        CONZO, DANA                   
RAB-001             2:00 PM - 3:20 PM        BIRD, EVAN                    
BIO-302             3:50 PM - 5:10 PM        FOSTER                        
RAB-001             2:00 PM - 3:20 PM        ALI, JAMAL                    
RAB-209A            2:00 PM - 3:20 PM        KABRA, ANUJA                  
RAB-001             5:40 PM - 7:00 PM        PARVEEN                       
BIO-302             2:00 PM - 3:20 PM        PAYDAR, FERI                  
RAB-001             2:00 PM - 3:20 PM        OZTOPRAK, DILEK               
RAB-003             10:20 AM - 11:40 AM      CONZO, DANA                   
RAB-001             2:00 PM - 3:20 PM        AL-DEWACHI                    
RAB-001             2:00 PM - 3:20 PM        SCHRIRE, CARMEL               
RAB-003             2:00 PM - 3:20 PM        CABANES CRUELLE               
RAB-001             2:00 PM - 3:20 PM        NAZIMOVA                      
RAB-001             2:00 PM - 3:20 PM        BERG, ULLA                    
RAB-003             3:50 PM - 5:10 PM        NAZIMOVA                      
RAB-001             2:00 PM - 3:20 PM        DE JONG, HYLKE                
RAB-001             2:00 PM - 3:20 PM        FRAZIER, BRENDA               
RAB-003             3:50 PM - 5:10 PM        DE JONG, HYLKE                
RAB-001             10:20 AM - 11:40 AM                                    
RAB-001             10:20 AM - 11:40 AM                                    
RAB-209A            10:20 AM - 11:40 AM      CABANES CRUELLE               
RAB-001             12:10 PM - 1:30 PM       BERG, ULLA                    
RAB-001             10:20 AM - 11:40 AM                                    
RAB-003             10:20 AM - 11:40 AM      CACHEL, SUSAN                 
RAB-001             10:20 AM - 11:40 AM      CRONK, LEE                    
RAB-001             10:20 AM - 11:40 AM      FEIBEL, CRAIG                 
RAB-003             2:00 PM - 3:20 PM        GHASSEM-FACHAND               
RAB-001             2:00 PM - 3:20 PM        FRAZIER, BRENDA               
RAB-001             3:50 PM - 5:10 PM        HAUGERUD                      
RAB-003             2:00 PM - 3:20 PM        DOMINGUEZ                     
RAB-001             2:00 PM - 3:20 PM        HUGHES, DAVID                 
RAB-001             10:20 AM - 11:40 AM      RILEY, KATHLEEN               
RAB-003             2:00 PM - 3:20 PM        PALOMBIT, RYNE                
RAB-001             2:00 PM - 3:20 PM        SCHEIN, LOUISA                
RAB-001             12:10 PM - 1:30 PM       SCHRIRE, CARMEL               
RAB-003             2:00 PM - 3:20 PM        SCHULTHIES                    
RAB-001             2:00 PM - 3:20 PM        SCOTT, ROBERT                 
RAB-001             10:20 AM - 11:40 AM      VOGEL, ERIN                   
BIO-205             2:00 PM - 3:20 PM        DE JONG, HYLKE                
RAB-208             2:00 PM - 3:20 PM        RAU, PILAR                    
BIO-206             3:50 PM - 5:10 PM                                      
BIO-206             2:00 PM - 3:20 PM                                      
HCK-101             2:00 PM - 3:20 PM                                      
HCK-101             5:40 PM - 7:00 PM        FARNEY, GARY                  
BIO-206             2:00 PM - 3:20 PM        SCHRIRE, CARMEL               
BIO-206             2:00 PM - 3:20 PM        GHASSEM-FACHAND               
BIO-205             10:20 AM - 11:40 AM                                    
BIO-205             2:00 PM - 3:20 PM        SELIM, SAMAH                  
BIO-206             2:00 PM - 3:20 PM        ALI, JAMAL                    
RAB-209A            12:10 PM - 1:30 PM       ALI, JAMAL                    
MU-212              2:00 PM - 3:20 PM        HABBAL, MANAR                 
MU-212              2:00 PM - 3:20 PM        MOHAMED, JEHAN                
SC-220              12:10 PM - 1:30 PM       ALI, JAMAL                    
SC-220              12:10 PM - 1:30 PM       HABBAL, MANAR                 
HH-A2               12:10 PM - 1:30 PM       KASHOU, HANAN                 
HH-A2               12:10 PM - 3:10 PM       KASHOU, HANAN                 
SPR-403             10:20 AM - 1:20 PM       MANOUKIAN                     
SPR-403             2:00 PM - 5:00 PM        MANOUKIAN                     
SPR-402             2:00 PM - 5:00 PM        TURKER CERDA; THUNO, ERIK     
SPR-402             2:00 PM - 3:20 PM        BROWN, THOMAS                 
BIO-205             2:00 PM - 3:20 PM        BROWN, THOMAS                 
FOR-191B            5:40 PM - 7:00 PM        YANTZ, JAYNE                  
BIO-206             5:40 PM - 7:00 PM        BAILEY                        
BIO-206             10:20 AM - 11:40 AM      FEE, FRANCHESCA               
BIO-206             10:20 AM - 11:40 AM      LANDSBERG                     
FOR-191B            5:40 PM - 8:40 PM        WEITZMAN, MARGO               
LSH-A256            2:00 PM - 5:00 PM        BROWN, THOMAS                 
LSH-A256            3:50 PM - 5:10 PM        KHIMASIA, ANNA                
BIO-205             3:50 PM - 5:10 PM        KHIMASIA, ANNA                
HCK-118             2:00 PM - 3:20 PM        RODRIGUEZ                     
HCK-118             2:00 PM - 3:20 PM        SIDLAUSKAS                    
BIO-302             10:20 AM - 11:40 AM      THOMAIDIS                     
BIO-206             10:20 AM - 11:40 AM      KNIGHT                        
SC-204              10:20 AM - 11:40 AM      PAUL, BENJAMIN                
SC-204              10:20 AM - 11:40 AM      DELOSSANTOS                   
MU-212              10:20 AM - 11:40 AM      RICO                          
MU-212              10:20 AM - 11:40 AM      WOODHOUSE-BEYER               
HH-B5               10:20 AM - 1:20 PM                                     
HH-B5               2:00 PM - 5:00 PM        YANNI, CARLA                  
RAB-209A            2:00 PM - 5:00 PM                                      
RAB-209A            10:20 AM - 11:40 AM                                    
SC-206              10:20 AM - 11:40 AM      COUTAVAS                      
SC-206              10:20 AM - 1:20 PM       AHMED, ZEESHAN                
SC-219              10:20 AM - 11:40 AM      CAI, LI                       
SC-219              10:20 AM - 11:40 AM      CHATLOS, JOHN; STEIN, LYRA    
SC-219              2:00 PM - 5:00 PM        CURRY                         
SC-219              5:40 PM - 7:00 PM        DOLL                          
MU-211              5:40 PM - 7:00 PM        GLASS, ARNOLD                 
MU-211              10:20 AM - 1:20 PM       JAVIAN, ANI                   
MU-112              10:20 AM - 1:20 PM       KNIGHT, DOYLE                 
SPR-403             3:50 PM - 5:10 PM        LIU, ALICE; GUNDERSON         
SPR-403             3:50 PM - 5:10 PM        LIU, XIANGMIN; YI, JINGANG    
AB-1180             3:50 PM - 5:10 PM        MAXWELL, JULIA                
AB-1180             3:50 PM - 5:10 PM        MAZZEO, AARON                 
ARH-100             12:10 PM - 1:30 PM       MCDONOUGH                     
ARH-100             12:10 PM - 1:30 PM       LIVELLI                       
ARH-100             5:40 PM - 7:00 PM        ADAMO, LAUREN                 
ARH-100             5:40 PM - 7:00 PM        ORDWAY, SCOTT; FREYTAG, ANETTE
ARH-100             2:00 PM - 3:20 PM        PAVLIK, JOHN                  
