Class Name                                        Building/Room       Class Times              Professor Names               
CULTURE AND SOCIAL LIFE                           BIO-205             10:20 AM - 11:40 AM                                    
01:070:102                                        RAB-208             10:20 AM - 11:40 AM                                    
INTRODUCTION TO HUMAN EVOLUTION                   BIO-206             10:20 AM - 11:40 AM      CABANES CRUELLE               
01:070:108                                        BIO-206             12:10 PM - 1:30 PM       BERG, ULLA                    
LANGUAGE, CULTURE, AND SOCIETY                    HCK-101             10:20 AM - 11:40 AM                                    
01:070:111                                        HCK-101             10:20 AM - 11:40 AM      CACHEL, SUSAN                 
EXTINCTION                                        BIO-206             10:20 AM - 11:40 AM      CRONK, LEE                    
01:070:112                                        BIO-206             10:20 AM - 11:40 AM      FEIBEL, CRAIG                 
WORLD PREHISTORY                                  BIO-205             2:00 PM - 3:20 PM        GHASSEM-FACHAND               
01:070:161                                        BIO-205             2:00 PM - 3:20 PM        FRAZIER, BRENDA               
ANTHROPOLOGY OF ROBOTS AND ARTIFICIAL INTELLIGENCEBIO-206             3:50 PM - 5:10 PM        HAUGERUD                      
01:070:162                                        RAB-209A            2:00 PM - 3:20 PM        DOMINGUEZ                     
GREAT EXCAVATIONS IN THE GARDEN STATE             MU-212              2:00 PM - 3:20 PM        HUGHES, DAVID                 
01:070:163                                        MU-212              10:20 AM - 11:40 AM      RILEY, KATHLEEN               
ISLANDS AND LOST CONTINENTS                       SC-220              2:00 PM - 3:20 PM        PALOMBIT, RYNE                
01:070:164                                        SC-220              2:00 PM - 3:20 PM        SCHEIN, LOUISA                
ARCHAEOLOGY MURDER MYSTERIES                      HH-A2               12:10 PM - 1:30 PM       SCHRIRE, CARMEL               
01:070:201                                        HH-A2               2:00 PM - 3:20 PM        SCHULTHIES                    
EVOLUTION AND HUMAN BEHAVIOR                      SPR-403             2:00 PM - 3:20 PM        SCOTT, ROBERT                 
01:070:213                                        SPR-403             10:20 AM - 11:40 AM      VOGEL, ERIN                   
ENVIRONMENT AND HUMAN EVOLUTION                   SPR-402             2:00 PM - 3:20 PM        DE JONG, HYLKE                
01:070:217                                        SPR-402             2:00 PM - 3:20 PM        RAU, PILAR                    
PSYCHOLOGY &amp; CULTURE                          BIO-205             3:50 PM - 5:10 PM                                      
01:070:218                                        FOR-191B            2:00 PM - 3:20 PM                                      
INTRODUCTION TO FORENSIC ANTHROPOLOGY             BIO-206             2:00 PM - 3:20 PM                                      
01:070:291                                        BIO-206             5:40 PM - 7:00 PM        FARNEY, GARY                  
SPECIAL TOPICS IN ANTHROPOLOGY                    BIO-206             2:00 PM - 3:20 PM        SCHRIRE, CARMEL               
